
Symbol table '.dynsym' contains 27118 entries:
   Num:    Value          Size Type    Bind   Vis      Ndx Name
   145: 0000000001131628    56 OBJECT  GLOBAL DEFAULT   17 ISSUING_DIST_POINT_it
   146: 0000000000648334   204 FUNC    GLOBAL DEFAULT   10 _ZN10GameObject1[...]
   147: 0000000000bd8990  3168 FUNC    GLOBAL DEFAULT   10 png_init_read_tr[...]
   148: 00000000009fb970   140 FUNC    GLOBAL DEFAULT   10 _ZN22SetupShader[...]
   149: 0000000000bca3f8   104 FUNC    GLOBAL DEFAULT   10 png_gamma_8bit_c[...]
   150: 000000000056c1b0   112 FUNC    GLOBAL DEFAULT   10 _ZN12BoomListVie[...]
   151: 0000000000aa3938     8 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d9exte[...]
   152: 0000000001122308    56 OBJECT  GLOBAL DEFAULT   17 ZLONG_it
   153: 0000000000000000     0 FUNC    GLOBAL DEFAULT  UND time@LIBC (2)
   154: 00000000011fce90   168 OBJECT  WEAK   DEFAULT   17 _ZTVN7cocos2d9CC[...]
   155: 0000000000a6b6d8    72 FUNC    GLOBAL DEFAULT   10 _ZN19GroupComman[...]
   156: 0000000000b3e908    28 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d17CCT[...]
   157: 0000000000f17640    20 OBJECT  WEAK   DEFAULT   11 _ZTSN7cocos2d8CC[...]
   158: 0000000000ae1278    96 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d18CCK[...]
   159: 0000000000845590   248 FUNC    GLOBAL DEFAULT   10 _ZN16GJAccountMa[...]
   160: 000000000085a120   172 FUNC    GLOBAL DEFAULT   10 _ZN15GJBaseGameL[...]
   161: 00000000011fcd88    24 OBJECT  WEAK   DEFAULT   17 _ZTIN7cocos2d9CC[...]
   162: 0000000000b3a4d0    60 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d13CCT[...]
   163: 00000000007a6a04    16 FUNC    GLOBAL DEFAULT   10 _ZN14GJRewardObj[...]
   164: 00000000005c2dcc    88 FUNC    GLOBAL DEFAULT   10 _ZN9MenuLayer9on[...]
   165: 0000000000870b48     8 FUNC    GLOBAL DEFAULT   10 _ZThn320_N15GJBa[...]
   166: 0000000000b2e85c     4 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d11CCC[...]
   167: 0000000000749f10    68 FUNC    WEAK   DEFAULT   10 _ZN21ItemTrigger[...]
   168: 0000000000880534   608 FUNC    GLOBAL DEFAULT   10 _ZN15GJBaseGameL[...]
   169: 0000000000a9a85c   180 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d9exte[...]
   170: 0000000000bcdf30    44 FUNC    GLOBAL DEFAULT   10 png_get_sRGB
   171: 0000000000d412d0   356 FUNC    GLOBAL DEFAULT   10 SSL_CTX_free
   172: 0000000000b389d8    48 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d10CCT[...]
   173: 000000000060901c     8 FUNC    GLOBAL DEFAULT   10 _ZThn320_N16GJLe[...]
   174: 0000000000b21774    68 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d19ccA[...]
   175: 0000000000b10a40    36 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d11CCG[...]
   176: 0000000000d430dc    16 FUNC    GLOBAL DEFAULT   10 OBJ_bsearch_ssl_[...]
   177: 00000000009f9e20     8 FUNC    GLOBAL DEFAULT   10 _ZThn320_N18Setu[...]
   178: 0000000000ecd370    16 OBJECT  WEAK   DEFAULT   11 _ZTS13EditButtonBar
   179: 0000000000000000     0 FUNC    GLOBAL DEFAULT  UND modf@LIBC (3)
   180: 0000000000eca0d0    23 OBJECT  WEAK   DEFAULT   11 _ZTS20LevelManag[...]
   181: 000000000091d8d4    36 FUNC    GLOBAL DEFAULT   10 _Z18yOffsetForGa[...]
   182: 0000000000b21348   104 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d31ccA[...]
   183: 0000000000e0aaf4     4 FUNC    GLOBAL DEFAULT   10 ASN1_INTEGER_set
   184: 0000000000933a4c   164 FUNC    GLOBAL DEFAULT   10 _ZN14RateDemonLa[...]
   185: 00000000005bf3b8     8 FUNC    GLOBAL DEFAULT   10 _ZThn320_N21Crea[...]
   186: 0000000000aa57a0   488 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d9exte[...]
   187: 000000000060a728    36 FUNC    GLOBAL DEFAULT   10 _ZN13GJRequestCe[...]
   188: 000000000056baf0     4 FUNC    GLOBAL DEFAULT   10 _ZN12BoomListVie[...]
   189: 00000000005be578     8 FUNC    GLOBAL DEFAULT   10 _ZThn320_N13GJSo[...]
   190: 000000000078f8f4     4 FUNC    WEAK   DEFAULT   10 _ZN21RewardedVid[...]
   191: 000000000119f8a0  2016 OBJECT  WEAK   DEFAULT   17 _ZTV15UIPOptionsLayer
   192: 000000000068a7f0    80 FUNC    GLOBAL DEFAULT   10 _ZN8EditorUI14up[...]
   193: 000000000092f6b0   652 FUNC    GLOBAL DEFAULT   10 _ZN18AnimatedSho[...]
   194: 0000000000ad79f8   136 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d10CCD[...]
   195: 00000000007cf460  1408 FUNC    GLOBAL DEFAULT   10 _ZN21MoreVideoOp[...]
   196: 0000000000a5a174    56 FUNC    GLOBAL DEFAULT   10 _ZN18OptionsScro[...]
   197: 0000000000000000     0 FUNC    GLOBAL DEFAULT  UND glDrawArrays
   198: 00000000007b56c8   108 FUNC    GLOBAL DEFAULT   10 _ZN16GameStatsMa[...]
   199: 00000000009011f0   536 FUNC    GLOBAL DEFAULT   10 _ZN13StarInfoPop[...]
   200: 00000000006f3658   332 FUNC    GLOBAL DEFAULT   10 _ZN16GameLevelMa[...]
   201: 0000000000744570  4324 FUNC    GLOBAL DEFAULT   10 _ZN16CustomSongW[...]
   202: 00000000007dc000  2928 FUNC    GLOBAL DEFAULT   10 _ZN12SupportLaye[...]
   203: 00000000009aafbc     4 FUNC    GLOBAL DEFAULT   10 _ZN18SetupTimeWa[...]
   204: 00000000007a0ef4    20 FUNC    WEAK   DEFAULT   10 _ZN11GJStoreItemD2Ev
   205: 0000000000a43040   100 FUNC    WEAK   DEFAULT   10 _ZN21SetupCamera[...]
   206: 0000000000d5cc50    28 FUNC    GLOBAL DEFAULT   10 SSL_get_srp_userinfo
   207: 00000000005a2f00    24 FUNC    GLOBAL DEFAULT   10 _ZN15CCTextInput[...]
   208: 0000000000dfb5fc    60 FUNC    GLOBAL DEFAULT   10 X509V3_set_ctx
   209: 0000000000afd3e8     8 FUNC    GLOBAL DEFAULT   10 _ZThn320_N7cocos[...]
   210: 000000000065c858   196 FUNC    GLOBAL DEFAULT   10 _ZN19LevelSettin[...]
   211: 0000000000e1b4fc    20 FUNC    GLOBAL DEFAULT   10 Camellia_decrypt
   212: 0000000000b18180    80 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d17CCS[...]
   213: 0000000000de0038   360 FUNC    GLOBAL DEFAULT   10 SRP_create_verif[...]
   214: 00000000007d3b8c     4 FUNC    GLOBAL DEFAULT   10 _ZN13EndLevelLay[...]
   215: 000000000056b4a8    20 FUNC    WEAK   DEFAULT   10 _ZN13BonusDropdo[...]
   216: 0000000000b1c688   180 FUNC    GLOBAL DEFAULT   10 _Z17isLegalUTF8S[...]
   217: 0000000000adc620    72 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d8CCGr[...]
   218: 0000000000ab9510   156 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d15CCE[...]
   219: 00000000006859a8   112 FUNC    GLOBAL DEFAULT   10 _ZN18GJTransform[...]
   220: 0000000000aecba4    20 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d21CCT[...]
   221: 0000000000c49094   400 FUNC    GLOBAL DEFAULT   10 TIFFInitCCITTRLEW
   222: 00000000008a5304   120 FUNC    GLOBAL DEFAULT   10 _ZN15GJEffectMan[...]
   223: 0000000000aaef78   420 FUNC    GLOBAL DEFAULT   10 _Z19localStorage[...]
   224: 0000000000e6f608    16 FUNC    GLOBAL DEFAULT   10 X509_policy_node[...]
   225: 00000000008cc100     8 FUNC    GLOBAL DEFAULT   10 _ZThn632_N18Frie[...]
   226: 00000000008c2430     8 FUNC    WEAK   DEFAULT   10 _ZThn320_N15UIPO[...]
   227: 0000000000aa5490   224 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d9exte[...]
   228: 0000000000685d88    96 FUNC    GLOBAL DEFAULT   10 _ZN8EditorUI20on[...]
   229: 000000000078af24   192 FUNC    GLOBAL DEFAULT   10 _ZN16EditorPause[...]
   230: 0000000000d3e2f8    12 FUNC    GLOBAL DEFAULT   10 SSL_COMP_get_name
   231: 0000000000b3716c   212 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d12CCT[...]
   232: 0000000000ad8554    12 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d12ccD[...]
   233: 0000000000b5b068   224 FUNC    GLOBAL DEFAULT   10 _ZNK4pugi12xml_d[...]
   234: 0000000000da4720    16 FUNC    GLOBAL DEFAULT   10 EVP_aes_128_wrap_pad
   235: 00000000011b1ca0  1744 OBJECT  WEAK   DEFAULT   17 _ZTV17RewardUnlo[...]
   236: 0000000000af3484     8 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d10CCM[...]
   237: 000000000057e144    96 FUNC    GLOBAL DEFAULT   10 _ZN12FLAlertLaye[...]
   238: 00000000004ed8d8   136 FUNC    GLOBAL DEFAULT   10 _ZN9AdToolbox22h[...]
   239: 0000000000dfb684    76 FUNC    GLOBAL DEFAULT   10 X509V3_EXT_conf_nid
   240: 0000000000576b80    40 FUNC    GLOBAL DEFAULT   10 _ZN16CCPartAnimS[...]
   241: 0000000000bbc5e4     8 FUNC    GLOBAL DEFAULT   10 lws_wsi_user
   242: 0000000000bdf5f0   212 FUNC    GLOBAL DEFAULT   10 png_handle_gAMA
   243: 0000000000e661f8    88 FUNC    GLOBAL DEFAULT   10 ERR_load_PKCS12_[...]
   244: 000000000121a220   184 OBJECT  WEAK   DEFAULT   17 _ZTVN7cocos2d11C[...]
   245: 000000000070c4ac  2792 FUNC    GLOBAL DEFAULT   10 _ZN9GJMapPack6cr[...]
   246: 000000000117c8b0    56 OBJECT  WEAK   DEFAULT   17 _ZTI12OptionsLayer
   247: 0000000000570320     8 FUNC    GLOBAL DEFAULT   10 _ZN12ButtonSprit[...]
   248: 0000000000000000     0 FUNC    GLOBAL DEFAULT  UND setjmp@LIBC (2)
   249: 0000000000be6214    52 FUNC    GLOBAL DEFAULT   10 png_set_user_tra[...]
   250: 00000000005c27a4   536 FUNC    GLOBAL DEFAULT   10 _ZN9MenuLayer15F[...]
   251: 00000000007d3524    64 FUNC    GLOBAL DEFAULT   10 _ZN13EndLevelLay[...]
   252: 0000000001205f30    56 OBJECT  WEAK   DEFAULT   17 _ZTIN7cocos2d22C[...]
   253: 00000000008650b8   468 FUNC    GLOBAL DEFAULT   10 _ZN15GJBaseGameL[...]
   254: 0000000000d63030    20 FUNC    GLOBAL DEFAULT   10 SSL_CONF_CTX_new
   255: 00000000006b6390     8 FUNC    GLOBAL DEFAULT   10 _ZThn320_N18GJTr[...]
   256: 00000000006f4964   920 FUNC    GLOBAL DEFAULT   10 _ZN16GameLevelMa[...]
   257: 0000000000608d74    68 FUNC    GLOBAL DEFAULT   10 _ZN13CustomSFXCe[...]
   258: 0000000000def30c    72 FUNC    GLOBAL DEFAULT   10 X509_NAME_get_in[...]
   259: 0000000000b2239c    40 FUNC    GLOBAL DEFAULT   10 _ZNK8tinyxml27XM[...]
   260: 0000000000616768   192 FUNC    GLOBAL DEFAULT   10 _ZN10ArtistCell1[...]
   261: 0000000000de332c     8 FUNC    GLOBAL DEFAULT   10 UI_new
   262: 0000000000d76f8c    76 FUNC    GLOBAL DEFAULT   10 BIO_find_type
   263: 000000000085d2bc   132 FUNC    GLOBAL DEFAULT   10 _ZN15GJBaseGameL[...]
   264: 0000000000877994   204 FUNC    WEAK   DEFAULT   10 _ZNSt8__detail9_[...]
   265: 0000000000ac7f48   348 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d14CCW[...]
   266: 0000000000dc37e4    24 FUNC    GLOBAL DEFAULT   10 OCSP_response_status
   267: 00000000005b1088    96 FUNC    GLOBAL DEFAULT   10 _ZN15FMODAudioEn[...]
   268: 000000000116ee40  2040 OBJECT  WEAK   DEFAULT   17 _ZTV20Checkpoint[...]
   269: 00000000011b44c0    24 OBJECT  WEAK   DEFAULT   17 _ZTI14SetItemIDLayer
   270: 000000000085d3f4   156 FUNC    GLOBAL DEFAULT   10 _ZN15GJBaseGameL[...]
   271: 0000000000afd388     8 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d16CCP[...]
   272: 00000000009b0a78     8 FUNC    GLOBAL DEFAULT   10 _ZThn336_N16Mult[...]
   273: 0000000000e2157c     8 FUNC    GLOBAL DEFAULT   10 CMS_SignerInfo_c[...]
   274: 00000000008c3ac0    68 FUNC    WEAK   DEFAULT   10 _ZN18GJDifficult[...]
   275: 000000000058a1b0  2204 FUNC    GLOBAL DEFAULT   10 _ZN19MultilineBi[...]
